,symboling,fueltype_diesel,aspiration_turbo,enginelocation_front,wheelbase,carheight,curbweight,cylindernumber,stroke,compressionratio,peakrpm,citympg,price,gama_alta,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi
42,1,0,0,1,96.5,51.0,2293,4,3.58,9.1,5500,25,10345.0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
43,0,0,0,1,94.3,53.5,2337,4,3.23,8.5,4800,24,6785.0,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
44,1,0,0,1,94.5,52.0,1874,4,3.11,9.6,5400,38,8916.5,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
45,0,0,0,1,94.5,52.0,1909,4,3.11,9.6,5400,38,8916.5,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
46,2,0,0,1,96.0,51.4,2734,4,3.23,9.2,5000,24,11048.0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
47,0,0,0,1,113.0,52.8,4066,6,4.17,8.1,4750,15,32250.0,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
48,0,0,0,1,113.0,52.8,4066,6,4.17,8.1,4750,15,35550.0,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
49,0,0,0,1,102.0,47.8,3950,12,2.76,11.5,5000,13,36000.0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
50,1,0,0,1,93.1,54.1,1890,4,3.15,9.0,5000,30,5195.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
51,1,0,0,1,93.1,54.1,1900,4,3.15,9.0,5000,31,6095.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
52,1,0,0,1,93.1,54.1,1905,4,3.15,9.0,5000,31,6795.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
53,1,0,0,1,93.1,54.1,1945,4,3.15,9.0,5000,31,6695.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
54,1,0,0,1,93.1,54.1,1950,4,3.15,9.0,5000,31,7395.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
55,3,0,0,1,95.3,49.6,2380,2,3.255,9.4,6000,17,10945.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
56,3,0,0,1,95.3,49.6,2380,2,3.255,9.4,6000,17,11845.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
57,3,0,0,1,95.3,49.6,2385,2,3.255,9.4,6000,17,13645.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
58,3,0,0,1,95.3,49.6,2500,2,3.255,9.4,6000,16,15645.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
59,1,0,0,1,98.8,53.7,2385,4,3.39,8.6,4800,26,8845.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
60,0,0,0,1,98.8,55.5,2410,4,3.39,8.6,4800,26,8495.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
61,1,0,0,1,98.8,53.7,2385,4,3.39,8.6,4800,26,10595.0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
62,0,0,0,1,98.8,55.5,2410,4,3.39,8.6,4800,26,10245.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
63,0,1,0,1,98.8,55.5,2443,4,3.39,22.7,4650,36,10795.0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
64,0,0,0,1,98.8,55.5,2425,4,3.39,8.6,4800,26,11245.0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
65,0,0,0,1,104.9,54.4,2670,4,3.16,8.0,5000,19,18280.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
66,0,1,0,1,104.9,54.4,2700,4,3.64,22.0,4200,31,18344.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
67,-1,1,1,1,110.0,56.5,3515,5,3.64,21.5,4350,22,25552.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
68,-1,1,1,1,110.0,58.7,3750,5,3.64,21.5,4350,22,28248.0,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
69,0,1,1,1,106.7,54.9,3495,5,3.64,21.5,4350,22,28176.0,1,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
70,-1,1,1,1,115.6,56.3,3770,5,3.64,21.5,4350,22,31600.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
71,-1,0,0,1,115.6,56.5,3740,8,3.1,8.3,4750,16,34184.0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
72,3,0,0,1,96.6,50.8,3685,8,3.1,8.3,4750,16,35056.0,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
73,0,0,0,1,120.9,56.7,3900,8,3.35,8.0,4500,14,40960.0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
74,1,0,0,1,112.0,55.4,3715,8,3.35,8.0,4500,14,45400.0,1,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
75,1,0,1,1,102.7,54.8,2910,4,3.12,8.0,5000,19,16503.0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
76,2,0,0,1,93.7,50.8,1918,4,3.23,9.4,5500,37,5389.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
77,2,0,0,1,93.7,50.8,1944,4,3.23,9.4,5500,31,6189.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
78,2,0,0,1,93.7,50.8,2004,4,3.23,9.4,5500,31,6669.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
79,1,0,1,1,93.0,50.8,2145,4,3.39,7.6,5500,24,7689.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
80,3,0,1,1,96.3,49.4,2370,4,3.46,7.5,5500,23,9959.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
81,3,0,0,1,96.3,49.4,2328,4,3.46,8.5,5000,25,8499.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
82,3,0,1,1,95.9,50.2,2833,4,3.86,7.0,5000,19,12629.0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
83,3,0,1,1,95.9,50.2,2921,4,3.86,7.0,5000,19,14869.0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
84,3,0,1,1,95.9,50.2,2926,4,3.86,7.0,5000,19,14489.0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
85,1,0,0,1,96.3,51.6,2365,4,3.46,8.5,5000,25,6989.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
86,1,0,0,1,96.3,51.6,2405,4,3.46,8.5,5000,25,8189.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
87,1,0,1,1,96.3,51.6,2403,4,3.46,7.5,5500,23,9279.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
88,-1,0,0,1,96.3,51.6,2403,4,3.46,7.5,5500,23,9279.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
89,1,0,0,1,94.5,54.5,1889,4,3.29,9.4,5200,31,5499.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
90,1,1,0,1,94.5,54.5,2017,4,3.47,21.9,4800,45,7099.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
91,1,0,0,1,94.5,54.5,1918,4,3.29,9.4,5200,31,6649.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
92,1,0,0,1,94.5,54.5,1938,4,3.29,9.4,5200,31,6849.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
93,1,0,0,1,94.5,53.5,2024,4,3.29,9.4,5200,31,7349.0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
94,1,0,0,1,94.5,54.5,1951,4,3.29,9.4,5200,31,7299.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
95,1,0,0,1,94.5,53.3,2028,4,3.29,9.4,5200,31,7799.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
96,1,0,0,1,94.5,54.5,1971,4,3.29,9.4,5200,31,7499.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
97,1,0,0,1,94.5,53.5,2037,4,3.29,9.4,5200,31,7999.0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
98,2,0,0,1,95.1,53.3,2008,4,3.29,9.4,5200,31,8249.0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
99,0,0,0,1,97.2,54.7,2324,4,3.47,8.5,5200,27,8949.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
100,0,0,0,1,97.2,54.7,2302,4,3.47,8.5,5200,27,9549.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
101,0,0,0,1,100.4,55.1,3095,6,3.27,9.0,5200,17,13499.0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
102,0,0,0,1,100.4,56.1,3296,6,3.27,9.0,5200,17,14399.0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
103,0,0,0,1,100.4,55.1,3060,6,3.27,9.0,5200,19,13499.0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
104,3,0,0,1,91.3,49.7,3071,6,3.27,9.0,5200,19,17199.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
105,3,0,1,1,91.3,49.7,3139,6,3.27,7.8,5200,17,19699.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
106,1,0,0,1,99.2,49.7,3139,6,3.27,9.0,5200,19,18399.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
107,0,0,0,1,107.9,56.7,3020,4,3.19,8.4,5000,19,11900.0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
108,0,1,1,1,107.9,56.7,3197,4,3.52,21.0,4150,28,13200.0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
109,0,0,0,1,114.2,58.7,3230,4,3.19,8.4,5000,19,12440.0,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
110,0,1,1,1,114.2,58.7,3430,4,3.52,21.0,4150,25,13860.0,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
111,0,0,0,1,107.9,56.7,3075,4,2.19,8.4,5000,19,15580.0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
112,0,1,1,1,107.9,56.7,3252,4,3.52,21.0,4150,28,16900.0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
113,0,0,0,1,114.2,56.7,3285,4,2.19,8.4,5000,19,16695.0,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
114,0,1,1,1,114.2,58.7,3485,4,3.52,21.0,4150,25,17075.0,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
115,0,0,0,1,107.9,56.7,3075,4,3.19,8.4,5000,19,16630.0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
116,0,1,1,1,107.9,56.7,3252,4,3.52,21.0,4150,28,17950.0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
117,0,0,1,1,108.0,56.0,3130,4,3.21,7.0,5600,18,18150.0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
118,1,0,0,1,93.7,50.8,1918,4,3.23,9.4,5500,37,5572.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
119,1,0,1,1,93.7,50.8,2128,4,3.39,7.6,5500,24,7957.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
120,1,0,0,1,93.7,50.6,1967,4,3.23,9.4,5500,31,6229.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
121,1,0,0,1,93.7,50.8,1989,4,3.23,9.4,5500,31,6692.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
122,1,0,0,1,93.7,50.8,2191,4,3.23,9.4,5500,31,7609.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
123,-1,0,0,1,103.3,59.8,2535,4,3.46,8.5,5000,24,8921.0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
124,3,0,1,1,95.9,50.2,2818,4,3.86,7.0,5000,19,12764.0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
125,3,0,0,1,94.5,50.2,2778,4,3.11,9.5,5500,19,22018.0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
126,3,0,0,0,89.5,51.6,2756,6,2.9,9.5,5900,17,32528.0,1,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
127,3,0,0,0,89.5,51.6,2756,6,2.9,9.5,5900,17,34028.0,1,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
128,3,0,0,0,89.5,51.6,2800,6,2.9,9.5,5900,17,37028.0,1,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
129,1,0,0,1,98.4,50.5,3366,8,3.11,10.0,5750,17,31400.5,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
130,0,0,0,1,96.1,55.2,2579,4,3.9,8.7,5100,23,9295.0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
131,2,0,0,1,96.1,50.5,2460,4,3.9,8.7,5100,23,9895.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
132,3,0,0,1,99.1,56.1,2658,4,3.07,9.31,5250,21,11850.0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
133,2,0,0,1,99.1,56.1,2695,4,3.07,9.3,5250,21,12170.0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
134,3,0,0,1,99.1,56.1,2707,4,2.07,9.3,5250,21,15040.0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
135,2,0,0,1,99.1,56.1,2758,4,3.07,9.3,5250,21,15510.0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
136,3,0,1,1,99.1,56.1,2808,4,3.07,9.0,5500,19,18150.0,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
137,2,0,1,1,99.1,56.1,2847,4,3.07,9.0,5500,19,18620.0,1,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
138,2,0,0,1,93.7,53.7,2050,4,2.36,9.0,4900,31,5118.0,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
139,2,0,0,1,93.7,53.7,2120,4,2.64,8.7,4400,26,7053.0,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
140,2,0,0,1,93.3,55.7,2240,4,2.64,8.7,4400,26,7603.0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
141,0,0,0,1,97.2,52.5,2145,4,2.64,9.5,4800,32,7126.0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
142,0,0,0,1,97.2,52.5,2190,4,2.64,9.5,4400,28,7775.0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
143,0,0,0,1,97.2,52.5,2340,4,2.64,9.0,5200,26,9960.0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
144,0,0,0,1,97.0,54.3,2385,4,2.64,9.0,4800,24,9233.0,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
145,0,0,1,1,97.0,54.3,2510,4,2.64,7.7,4800,24,11259.0,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
146,0,0,0,1,97.0,53.0,2290,4,2.64,9.0,4800,28,7463.0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
147,0,0,0,1,97.0,53.0,2455,4,2.64,9.0,5200,25,10198.0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
148,0,0,0,1,96.9,54.9,2420,4,2.64,9.0,4800,23,8013.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
149,0,0,1,1,96.9,54.9,2650,4,2.64,7.7,4800,23,11694.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
